Categories;Latitude;Longitude
4bf58dd8d48988d1e0931735-Coffee Shop|4bf58dd8d48988d16d941735-Café;21.029161655333706;105.850221516776
4bf58dd8d48988d1d1941735-Noodle House|4bf58dd8d48988d14a941735-Vietnamese Restaurant;21.034373420642797;105.85438231929285
4bf58dd8d48988d1e0931735-Coffee Shop|4bf58dd8d48988d1d0941735-Dessert Shop;21.031582633294438;105.85117480631958
4bf58dd8d48988d1e0931735-Coffee Shop;21.022716319215476;105.85251524499085
4bf58dd8d48988d16d941735-Café|4bf58dd8d48988d116941735-Bar|4bf58dd8d48988d1c4941735-Restaurant;21.029003267063317;105.84602554498265
4bf58dd8d48988d1d1941735-Noodle House|4bf58dd8d48988d14a941735-Vietnamese Restaurant;21.032241442144638;105.8481400242549
4bf58dd8d48988d1c5941735-Sandwich Place|4bf58dd8d48988d14a941735-Vietnamese Restaurant;21.03616702765965;105.84868709483459
4bf58dd8d48988d1e0931735-Coffee Shop|4bf58dd8d48988d16d941735-Café;21.0335367825251;105.85469511602892
4bf58dd8d48988d1e0931735-Coffee Shop;21.010800508869128;105.84922008827871
4bf58dd8d48988d14a941735-Vietnamese Restaurant;21.031994;105.85189
4bf58dd8d48988d16d941735-Café;21.02941903068295;105.84311175047023
4bf58dd8d48988d117941735-Beer Garden|4bf58dd8d48988d1df931735-BBQ Joint;21.070991;105.822127
50be8ee891d4fa8dcc7199a7-Market|4bf58dd8d48988d14a941735-Vietnamese Restaurant;21.044103464079015;105.79387282816758
4bf58dd8d48988d142941735-Asian Restaurant;21.033757;105.847427
4bf58dd8d48988d16d941735-Café;21.030754;105.849439
4bf58dd8d48988d1c9941735-Ice Cream Shop|4bf58dd8d48988d1d0941735-Dessert Shop;21.02505482046322;105.85473725595986
4bf58dd8d48988d16d941735-Café;21.032618657883678;105.84684324018556
4bf58dd8d48988d1d1941735-Noodle House|4bf58dd8d48988d14a941735-Vietnamese Restaurant;21.032217206805196;105.8468278366933
4bf58dd8d48988d16d941735-Café;21.03638849191281;105.79256489799366
4bf58dd8d48988d1c5941735-Sandwich Place;21.03407173373621;105.85132062260527
5744ccdfe4b0c0459246b4e2-Pastry Shop|4bf58dd8d48988d147941735-Diner;21.074335;105.815216
